rho (¦Ìm), A_phi (T¡¤m), A_phi_fitted (T¡¤m)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525252525252525207e-02,2.538660730173569939e-09,2.538660730173569939e-09
5.050505050505050414e-02,5.077321460347139878e-09,5.077321460347139878e-09
7.575757575757575968e-02,7.615982190520709817e-09,7.615982190520709817e-09
1.010101010101010083e-01,1.015464292069427976e-08,1.015464292069427976e-08
1.262626262626262708e-01,1.269330365086784804e-08,1.269330365086784804e-08
1.515151515151515194e-01,1.523196438104141963e-08,1.523196438104141963e-08
1.767676767676767680e-01,1.777062511121498957e-08,1.777062511121498957e-08
2.020202020202020166e-01,2.030928584138855951e-08,2.030928584138855951e-08
2.272727272727272929e-01,2.284794657156213276e-08,2.284794657156213276e-08
2.525252525252525415e-01,2.538660730173569608e-08,2.538660730173569608e-08
2.777777777777777346e-01,2.792526803190926602e-08,2.792526803190926602e-08
3.030303030303030387e-01,3.046392876208283927e-08,3.046392876208283927e-08
3.282828282828282873e-01,3.300258949225640590e-08,3.300258949225640590e-08
3.535353535353535359e-01,3.554125022242997914e-08,3.554125022242997914e-08
3.787878787878787845e-01,3.807991095260354577e-08,3.807991095260354577e-08
4.040404040404040331e-01,4.061857168277711902e-08,4.061857168277711902e-08
4.292929292929292817e-01,4.315723241295068565e-08,4.315723241295068565e-08
4.545454545454545858e-01,4.569589314312426552e-08,4.569589314312426552e-08
4.797979797979798344e-01,4.823455387329782553e-08,4.823455387329782553e-08
5.050505050505050830e-01,5.077321460347139216e-08,5.077321460347139216e-08
5.303030303030302761e-01,5.331187533364496541e-08,5.331187533364496541e-08
5.555555555555554692e-01,5.585053606381853204e-08,5.585053606381853204e-08
5.808080808080808843e-01,5.838919679399211190e-08,5.838919679399211190e-08
6.060606060606060774e-01,6.092785752416567853e-08,6.092785752416567853e-08
6.313131313131313815e-01,6.346651825433925178e-08,6.346651825433925178e-08
6.565656565656565746e-01,6.600517898451281179e-08,6.600517898451281179e-08
6.818181818181817677e-01,6.854383971468638504e-08,6.854383971468638504e-08
7.070707070707070718e-01,7.108250044485995829e-08,7.108250044485995829e-08
7.323232323232323759e-01,7.362116117503353154e-08,7.362116117503353154e-08
7.575757575757575690e-01,7.615982190520709155e-08,7.615982190520709155e-08
7.828282828282828731e-01,7.869848263538066480e-08,7.869848263538066480e-08
8.080808080808080662e-01,8.123714336555423805e-08,8.123714336555423805e-08
8.333333333333333703e-01,8.377580409572781129e-08,8.377580409572781129e-08
8.585858585858585634e-01,8.631446482590137131e-08,8.631446482590137131e-08
8.838383838383837565e-01,8.885312555607493132e-08,8.885312555607493132e-08
9.090909090909091717e-01,9.139178628624853104e-08,9.139178628624853104e-08
9.343434343434343647e-01,9.393044701642209105e-08,9.393044701642209105e-08
9.595959595959596689e-01,9.646910774659565106e-08,9.646910774659565106e-08
9.848484848484849730e-01,9.900776847676922431e-08,9.900776847676922431e-08
1.010101010101010166e+00,1.015464292069427843e-07,1.015464292069427843e-07
1.035353535353535470e+00,1.040850899371163708e-07,1.040850899371163708e-07
1.060606060606060552e+00,1.066237506672899308e-07,1.066237506672899308e-07
1.085858585858585856e+00,1.091624113974635041e-07,1.091624113974635041e-07
1.111111111111110938e+00,1.117010721276370641e-07,1.117010721276370641e-07
1.136363636363636465e+00,1.142397328578106506e-07,1.142397328578106506e-07
1.161616161616161769e+00,1.167783935879842238e-07,1.167783935879842238e-07
1.186868686868686851e+00,1.193170543181577971e-07,1.193170543181577971e-07
1.212121212121212155e+00,1.218557150483313571e-07,1.218557150483313571e-07
1.237373737373737237e+00,1.243943757785049171e-07,1.243943757785049171e-07
1.262626262626262763e+00,1.269330365086785036e-07,1.269330365086785036e-07
1.287878787878787845e+00,1.294716972388520371e-07,1.294716972388520371e-07
1.313131313131313149e+00,1.320103579690256236e-07,1.320103579690256236e-07
1.338383838383838453e+00,1.345490186991992101e-07,1.345490186991992101e-07
1.363636363636363535e+00,1.370876794293727701e-07,1.370876794293727701e-07
1.388888888888889062e+00,1.396263401595463301e-07,1.396263401595463301e-07
1.414141414141414144e+00,1.421650008897199166e-07,1.421650008897199166e-07
1.439393939393939448e+00,1.447036616198935031e-07,1.447036616198935031e-07
1.464646464646464752e+00,1.472423223500670631e-07,1.472423223500670631e-07
1.489898989898989834e+00,1.497809830802406231e-07,1.497809830802406231e-07
1.515151515151515138e+00,1.523196438104141831e-07,1.523196438104141831e-07
1.540404040404040442e+00,1.548583045405877431e-07,1.548583045405877431e-07
